"Rk","Player","Nation","Pos","Squad","Comp","Age","Height","Weight","MP","Min","Goals","SoT%","G/Sh","ShoDist","PasTotCmp","PasTotAtt","Assists","PPA","CrsPA","SCA","GCA","GcaDrib","Press","DriAtt","DriSucc%","Fld","AerWon%"
1943,"Eddie Nketiah","ENG","FW","Arsenal","Premier League",23,175,72,21,835,0.54,42.9,0.18,14.2,20.1,25.1,0.11,0.43,0,2.47,0.43,0,19.1,2.9,37,1.72,17.6
1983,"Michael Olise","FRA","FWMF","Crystal Palace","Premier League",21,180,68,26,1141,0.16,52.6,0.11,17.2,36.5,50.4,0.39,2.13,0.63,2.99,0.55,0,18.9,4.17,45.3,2.6,30
2081,"Nicolas Pépé","CIV","FWMF","Arsenal","Premier League",27,183,73,20,696,0.13,30.4,0.04,15.2,38.1,47.4,0.26,1.3,0.39,3.64,0.52,0,15.8,5.32,48.8,0.65,33.3
2148,"Daniel Podence","POR","FWMF","Wolves","Premier League",27,165,58,26,1484,0.12,42.9,0.06,21.7,28.2,38.5,0.18,2.18,0.61,3.76,0.24,0,15,4.06,49.3,1.82,7.4
2182,"Teemu Pukki","FIN","FW","Norwich City","Premier League",32,180,80,37,3253,0.3,35.3,0.12,14.9,10.9,14.6,0.08,0.17,0.03,1.66,0.11,0,19.4,1.8,46.2,0.8,12.9
2188,"Przemysław Płacheta","POL","FWMF","Norwich City","Premier League",24,177,72,12,504,0,87.5,0,16.7,19.1,28,0,0.71,0.36,2.5,0,0,20.5,1.79,60,1.43,23.1
2223,"Marcus Rashford","ENG","FWMF","Manchester Utd","Premier League",25,186,70,25,1235,0.29,54.5,0.18,17.5,21.7,30.8,0.15,0.8,0.22,2.12,0.22,0,18.5,3.8,38.5,1.53,34.1
2224,"Milot Rashica","KVX","FWMF","Norwich City","Premier League",26,177,73,31,2229,0.04,35.6,0.02,21.4,15.2,24.1,0.08,0.89,0.32,2.26,0.16,0,13.2,3.23,30,2.1,30.9
2294,"Jay Rodriguez","ENG","FW","Burnley","Premier League",33,185,84,29,1382,0.13,26.8,0.05,14.2,13.6,20.7,0.13,0.19,0.06,1.56,0.19,0,21.4,1.17,61.1,1.23,41.5
2308,"Cristiano Ronaldo","POR","FW","Manchester Utd","Premier League",37,187,83,30,2456,0.66,36.1,0.14,15,26.3,32.5,0.11,0.59,0,2.78,0.33,0.07,6.67,1.32,52.8,0.95,45.3
2310,"Salomón Rondón","VEN","FW","Everton","Premier League",33,186,85,20,790,0.11,28.6,0.05,11.6,14.5,21.8,0.11,0.23,0,1.93,0.11,0,19.5,0.91,50,0.45,41.1
2355,"Allan Saint-Maximin","FRA","FWMF","Newcastle Utd","Premier League",25,173,67,35,2804,0.16,40.6,0.08,19,17.5,24.3,0.16,1.03,0.29,3.65,0.29,0,8.24,7.37,60.9,2.28,38.8
2357,"Bukayo Saka","ENG","FWMF","Arsenal","Premier League",21,178,65,38,2978,0.33,30.5,0.09,16.9,26.9,35.8,0.21,0.97,0.21,4.29,0.48,0,15,3.02,49,2.3,34.5
2361,"Mohamed Salah","EGY","FW","Liverpool","Premier League",30,175,71,35,2762,0.75,36.6,0.13,15.5,28.3,36.4,0.42,1.99,0.26,4.33,0.81,0.16,14.6,4.43,41.9,0.98,22
2386,"Jadon Sancho","ENG","FWMF","Manchester Utd","Premier League",22,180,76,29,1900,0.14,34.6,0.12,14.6,38.4,46.5,0.14,1.71,0.28,3.89,0.38,0.09,13.1,3.93,57.8,0.43,8.3
2405,"Josh Sargent","USA","FWMF","Norwich City","Premier League",22,185,79,26,1572,0.11,7.7,0.08,15.3,17,23,0.06,0.17,0,1.49,0.11,0.06,20.6,1.94,52.9,1.66,44.2
2408,"Ismaila Sarr","SEN","FWMF","Watford","Premier League",24,185,76,22,1861,0.24,39.5,0.13,18.2,15.9,22.6,0.1,1.06,0.19,2.13,0.14,0,19.2,3.29,51.5,2.27,36.1
2566,"Raheem Sterling","ENG","FW","Manchester City","Premier League",28,170,69,30,2128,0.55,46.3,0.2,13.8,30.6,37.1,0.21,2.33,0.34,3.81,0.47,0,13.4,4.62,45,1.95,15.2
2675,"Ivan Toney","ENG","FW","Brentford","Premier League",26,185,70,33,2909,0.37,28.9,0.08,15.1,14.2,24.1,0.15,0.87,0.06,2.48,0.31,0.03,14.1,1.52,44.9,2.6,51.7
2711,"Leandro Trossard","BEL","FWMF","Brighton","Premier League",28,172,67,34,2805,0.26,36.1,0.1,18.1,29.3,37.9,0.1,1.86,0.22,2.92,0.32,0.06,15.3,2.5,75.6,1.25,23.8
2752,"Jamie Vardy","ENG","FW","Leicester City","Premier League",35,179,74,25,1806,0.75,47.2,0.28,12.1,9.55,13.2,0.1,0.95,0.15,1.89,0.25,0.1,13.7,1.04,52.4,0.65,36.8
2803,"Nikola Vlašić","CRO","FWMF","West Ham","Premier League",25,178,79,19,560,0.16,42.9,0.14,17.6,27.4,35.5,0,0.65,0,2.9,0,0,24.2,1.94,58.3,3.06,35.3
2813,"Matěj Vydra","CZE","FW","Burnley","Premier League",30,180,71,22,679,0.27,36.8,0.11,14.3,10.1,14.9,0.4,0.13,0,1.6,0.4,0,21.2,1.33,50,1.47,23.5
2828,"Ollie Watkins","ENG","FW","Aston Villa","Premier League",27,180,70,35,2952,0.34,40.3,0.13,13.5,15,21,0.06,0.73,0.03,2.2,0.24,0.03,17.6,1.77,51.7,1.46,42.3
2831,"Wout Weghorst","NED","FW","Burnley","Premier League",30,197,84,20,1450,0.12,23.3,0.07,13.6,17.9,26.8,0.19,0.5,0.06,1.74,0.31,0.06,32.2,1.18,73.7,1.3,38.2
2834,"Danny Welbeck","ENG","FW","Brighton","Premier League",32,185,73,25,1478,0.37,46.5,0.14,12.3,13.8,17.3,0.12,0.49,0,2.2,0.24,0,16,1.59,50,1.16,41.6
2835,"Timo Werner","GER","FWMF","Chelsea","Premier League",26,180,76,21,1283,0.28,35.6,0.09,13.1,21.1,27.9,0.07,0.77,0.14,1.82,0.28,0,17.3,2.38,38.2,1.05,29
2846,"Callum Wilson","ENG","FW","Newcastle Utd","Premier League",30,180,66,18,1386,0.52,37.5,0.19,13.4,7.99,11.4,0,0.26,0.06,1.3,0,0,12.3,1.62,56,1.69,27.8
2853,"Yoane Wissa","COD","FWMF","Brentford","Premier League",26,176,74,30,1284,0.49,39.4,0.21,15.4,13.4,19.6,0.07,0.7,0.07,1.33,0.28,0,13.3,1.68,70.8,1.89,49.1
2859,"Chris Wood","NZL","FW","Newcastle Utd","Premier League",31,191,92,17,1327,0.14,30,0.05,10.9,12.2,21.8,0,0.14,0,1.43,0.14,0,16.9,0.75,36.4,0.88,53.3
2882,"Wilfried Zaha","CIV","FW","Crystal Palace","Premier League",30,180,66,33,2760,0.46,41.9,0.15,18.5,24.4,31.4,0.03,2.12,0.49,3.39,0.39,0.1,20.1,4.56,52.1,4.04,26.8
2909,"Hakim Ziyech","MAR","FWMF","Chelsea","Premier League",29,181,65,23,1319,0.27,35.8,0.08,20.7,36.9,50.1,0.2,2.18,0.68,4.35,0.48,0.07,18.1,4.49,53,2.59,37.9
